,Text,label,predicted
0,I also saw the teller Michael and he was very friendly and helpful.,normal,normal
1,Convenient,normal,normal
2,Its faster,normal,normal
3,"Location, ease of use, safety",normal,normal
4,Instead of only allowing withdrawing of $20 bills.  It would be nice to withdraw $10bills,multi-denomination,multi-denomination
5,No issue,normal,normal
6,The machine made me deposit each check separately.  I also could not deposit on of the bills I had because it had a fold in it.,improve deposit process,improve deposit process
7,"On a whole I am satisfied. However, sometimes the door will not open with me BofA card. That I have to take the subway to the nearest BofA.",normal,normal
8,Its near from my home,normal,normal
9,The atm or money mover as I have always called it has been a good tool for me.  It has been being used by me for close to 30 years maybe more.  When did you first start having the machines available to us?  It is easy to use & has been made safer also by your plastic guards & removing my ATM card asap.,normal,normal
10,It was fine...would be nice if other monetary denominations were included for cash withdrawals.,normal,normal
11,It's was easy and convenient to get in and out for my banking needs.,normal,normal
12,YOUR ATM SETUP EASY TO FOLLOW AND DOESN'T TAKE MUCH TIME TO COMPLETE TRANSACTION,normal,normal
13,Ease of use,normal,normal
14,convenient to where I parked my car.quick and efficient and the prompts were clear and concise and helpful.,normal,normal
15,Everything works how it should. User friendly,normal,normal
16,"I received the money I requested, but this machine doesn’t give me the option to choose the type of bills I want.  Also, the buttons are too high from the car making me struggle a bit to make my selections.",normal,multi-denomination
17,It would be a 10 but there's no sun blockage of any kind so I could barely see the screen because of the sun rising behind me.  You know the sun flap things on RedBox?  You should put those on ATMs.  Otherwise very happy.,normal,normal
18,Bank of America is a great bank,normal,normal
19,Good service at any time,normal,normal
20,Not hold a money order for 10 days. Contact me to fix this right awayThanla,improve withdrawal process,improve withdrawal process
21,"Easily accessible, large screen/buttons",normal,normal
22,"I tried to withdraw money from the ATM machine on the outside nearest to Taco Bell.  I feel more safe being in public view rather than boxed in between machines. However, the machine said money not available.  I knew  I had money in my account.  I became paranoid.  I wandered if someone had withdrawn my money or if someone had tampered with the ATM",safety/cleanliness,improve withdrawal process
23,No Problems,normal,normal
24,Ease of transaction,normal,normal
25,ATM working and we'll lite area.,normal,normal
26,Service good I like BOA,normal,normal
27,"Make the Bank of America at Livernoise/Oakman back accessible to the customers you took away the drive-up service so now the only way to get money from there is to go inside or use the ATM which is always overcrowded, on top of you close the ATM at 8 so we have to drive miles to use another ATM which is not fair!!",add location,add location
28,Speed up the deposit process bit long on completion one too many conformation to complete deposit.,make process faster,make process faster
29,Make drive up and exit access easier,safety/cleanliness,drive-up height/layout
30,Fast service,normal,normal
31,I wish the drive through was a little more convenient.  I have to go inside the bank to make a withdrawal.,drive-up height/layout,add location
32,Convenience,normal,normal
33,Easy to use. Big screen and letter size was appropriate,normal,normal
34,Fast and easy check deposit.,normal,normal
35,No waiting time and good working atm,normal,normal
36,"well maintained, good location, convenient services",normal,normal
37,It would have helped if the atm buttons worked on the walk up atm. It will take your card but not allow basic operations. Maybe it’s set up that way after midnight:,normal,normal
38,Excellent service,normal,normal
39,Because there was no waiting in line and this ATM is in a convient location.,normal,normal
40,"Making a cc payment very easy,efficient and non-time consuming.",normal,normal
41,"Quick, easy, convenient",normal,normal
42,The ATM that is NOT a redbox ATM needs to have its bill feeder replaced.  It NEVER handles more than 5-7 bills without slipping and thus spitting the bills back out.  It will bill the top and bottom few bills and leave the middle bills unmoved.  More times than I care to count it has suddenly spit the bills back out onto the ground.,improve deposit process,improve deposit process
43,Very easy.,normal,normal
